"콘텐츠명","노키즈존","예약가능여부","룸보유여부","유아서비스기타","평일오픈시간","평일클로즈시간","주말오픈시간","주말클로즈시간","휴식시작시간","휴식종료시간","대표메뉴기타"
"무뚱 식도락 식당","","","","","09:30","20:00","09:30","20:00","","",""
"겐짱야","","","","","10:30","22:00","10:30","22:00","","",""
"무진장식당","","","","","09:00","22:00","09:00","22:00","","",""
"미나리식당","","","","","","","","","","",""
"산내들식당","","","","","08:00","20:00","08:00","20:00","","",""
"서귀포손칼국수","","","","","10:00","20:00","10:00","20:00","","",""
"카페희상","","","","","08:00","20:00","08:00","20:00","","",""
"전원일기","","","","","11:30","21:00","11:30","21:00","","",""
"카페동백","","","","","10:00","17:00","10:00","17:00","","",""
"바람기억","","","","","09:00","00:00","09:00","00:00","","",""
"아이스크림연구소(올레시장점)","","","","","09:00","23:00","09:00","23:00","","",""
"알라스카인제주 용담점","","","","","","","","","","",""
"모해 통갈치화덕구이전문점","","","","","11:00","22:00","11:00","22:00","","",""
"부르네비어가든","","","","","10:00","22:00","10:00","22:00","","",""
"블랙포엠","","","","","09:00","23:00","09:00","23:00","","",""
"다이노바이트 샌드위치","","","","","","","","","","",""
"창훈이네","","","","","09:30","19:00","09:30","19:00","","",""
"알라스카인제주 애월점","","","","","11:00","20:00","11:00","20:00","","",""
"알라스카인제주 제주항공우주박물관점","","","","","","","","","","",""
"라포레사려니","","","","","11:00","19:00","11:00","19:00","","",""
"남바마버거","","","","","11:00","17:00","11:00","17:00","","",""
"살롱드라방 SALON de LAVANT","","","","","10:30","17:00","10:30","17:00","","",""
"마쇼","","","","","11:00","15:00","11:00","15:00","","",""
"원앤온리","","","","","09:00","23:00","09:00","23:00","","",""
"ROAD129(로드129)","","n","","","11:00","20:30","11:00","20:30","","",""
"떡볶이대학 라면학과","","","","","09:00","21:00","09:00","21:00","","",""
"물메골","","","","","10:00","19:00","10:00","19:00","","",""
"하늘채가든","","","","","11:00","22:00","11:00","22:00","","",""
"창천삼거리식당","","","","","07:30","19:00","07:30","19:00","","",""
"종이비행기","","","","","","","","","","",""
"성산회관","","","","","11:30","21:00","11:30","21:00","","",""
"고집돌우럭(제주공항점)","","","","","10:00","21:30","10:00","21:30","","",""
"해월정","","","","","08:30","19:00","08:30","19:00","","",""
"어부와농부","","","","","09:00","22:00","09:00","22:00","","",""
