장소ID,장소명,도로명주소,장소상세설명,위도,경도,등록일시,수정일시,지번주소,사용여부
4513,곽지해수욕장,제주특별자치도 제주시 곽지5길 28,곽지해수욕장,33.4504947,126.3052894,2021-09-12,2021-09-12,제주특별자치도 제주시 애월읍 곽지리 1565,y
4546,노블레스호텔,제주특별자치도 제주시 신대로7길 23-1,숙소,33.4972842,126.504988,2021-10-01,2021-10-01,제주특별자치도 제주시 오라동 2634-1,y
4518,제주공항 도착,제주특별자치도 제주시 공항로 2 제주국제공항,제주공항 도착 오전 9시 도착,33.5040578,126.4932255,2021-09-14,2021-09-14,제주특별자치도 제주시 용담2동 1946,y
4523,노형감귤체험농장,제주특별자치도 제주시 은수길 131,나현아 감사해야한다,33.4651672,126.4871162,2021-09-19,2021-09-19,제주특별자치도 제주시 연동 1285-4,y
4527,자매국수,제주특별자치도 제주시 탑동로 99,아침,33.5162204,126.5170374,2021-09-22,2021-09-22,제주특별자치도 제주시 삼도2동 1167-8,y
4540,식당,,식당,33.4729506,126.8990845,2021-09-30,2021-09-30,제주특별자치도 서귀포시 성산읍 시흥리 704-1,y
4548,제주공항,제주특별자치도 제주시 월성로4길 25,ㅇ,33.5014813,126.5031818,2021-10-02,2021-10-02,제주특별자치도 제주시 용담2동 2765,y
4552,서귀포칼호텔,제주특별자치도 제주시 명주길 37-1,주소확인필요,33.2537367,126.5783241,2021-10-05,2021-10-05,제주특별자치도 서귀포시 영천동 811,y
4681,난드르바당,제주특별자치도 서귀포시 하예하동로16번길 11-1,흑돼지,33.2345444,126.3709587,2021-12-18,2021-12-18,제주특별자치도 서귀포시 예래동 1798-4,y
4632,협재해수욕장,제주특별자치도 제주시 한림로 300 한림공원,해수욕장산책,33.3867473,126.2420846,2021-11-29,2021-11-29,제주특별자치도 제주시 한림읍 협재리 2600,y
4598,제주공항,제주특별자치도 제주시 신성마을길 56-12,ㅇ,33.4977595,126.4885906,2021-11-22,2021-11-22,제주특별자치도 제주시 도두동 273-1,y
4610,신의한모,,모두부와 수육,33.4622511,126.3279155,2021-11-25,2021-11-25,제주특별자치도 제주시 애월읍 애월리 510,y
4619,용머리해안,,자연감상,33.4622511,126.3279155,2021-11-25,2021-11-25,제주특별자치도 제주시 애월읍 애월리 510,y
4624,제주민속촌,,문화체험,33.4622511,126.3279155,2021-11-25,2021-11-25,제주특별자치도 제주시 애월읍 애월리 510,y
4625,동백수목원,,힐링,33.4622511,126.3279155,2021-11-25,2021-11-25,제주특별자치도 제주시 애월읍 애월리 510,y
4628,어승생악등산로,제주특별자치도 제주시 1100로 2070-510 윗세오름대피소,어승생악등산로,33.3876751,126.4931213,2021-11-27,2021-11-27,제주특별자치도 제주시 애월읍 광령리 산183-6,y
4634,제주곶자왈,제주특별자치도 제주시 한림로 300 한림공원,곶자왈,33.2753064,126.2668041,2021-11-29,2021-11-29,제주특별자치도 서귀포시 대정읍 보성리 295,y
4635,모슬포항,제주특별자치도 제주시 한림로 300 한림공원,모슬포항,33.2121363,126.2558178,2021-11-29,2021-11-29,제주특별자치도 서귀포시 대정읍 하모리 649-5,y
4636,김포국제공항,서울특별시 강서구 하늘길 77 김포공항역,공항,37.5667214,126.8016047,2021-11-30,2021-11-30,서울특별시 강서구 방화2동 886,y
