콘텐츠명,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,난이도,장애인주차구역,장애인엘레베이터,장애인화장실,장애인화장실유효공간,장애인관람석및열람석,영유아돌봄시설,안내소접근가능여부,기타시설
검멀레동굴,,,,,,,,,,,,,,,
가새기오름,24:00:00,24:00:00,,,,,,,,,,,,,
연대포구,,,,,,,,,,,,,,,
노꼬메족은오름 (小鹿古山),,,,,,,,,,,,,,,
제주특별자치도 도립미술관,9:00,18:00,9:00,18:00,,,1,y,y,y,y,n,y,y,"휠체어, 유모차"
갓전시관[임시휴관중],10:00,17:00,10:00,17:00,,,2,y,n,y,y,n,n,y,"휠체어, 유모차,"
그린크루즈(산방산유람선),,,,,,,,,,,,,,,
조랑말체험공원,9:00,18:00,9:00,18:00,,,,,,,,,,,
조은승마장,9:00,18:00,9:00,18:00,,,,,,,,,,,
중문단지 축구장,,,,,,,,,,,,,,,
삼성혈,9:00,18:00,9:00,18:00,,,1,y,n,y,y,n,n,n,"휠체어, 유모차"
야무치,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
야무치,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
야무치,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
우도산호해변 홍조단괴 서빈백사,,,,,,,,,,,,,,,
어승생,,,,,,,,,,,,,,,
연화못,,,,,,,,,,,,,,,
약천사,,,,,,,,,,,,,,,
쇠소깍,,,,,,,,,,,,,,,
제주올레 6코스,,,,,,,,,,,,,,,
제주올레 7코스,,,,,,,,,,,,,,,
세미오름(샘이오름),,,,,,,,,,,,,,,
제주올레 1코스,,,,,,,,,,,,,,,
제주올레 9코스,,,,,,,,,,,,,,,
제주국제컨벤션센터 icc,0:00,0:00,0:00,0:00,,,,,,,,,,,
제주돌문화공원,9:00,18:00,9:00,18:00,,,2,y,y,y,y,n,y,y,"휠체어, 유모차, '오백장군호' 전기셔틀카 *별도 이용요금 발생, 유모차(3대) 및 휠체어(3대) 무료대여 / 물품보관소: 무료(약 40~50개)"
무릉곶자왈,,,,,,,,,,,,,,,
제주대학교병원,9:00,18:00,,,,,,,,,,,,,
김영갑갤러리 두모악,,,,,,,1,y,,y,y,,n,y,"휠체어, 유모차 등"
THE WE,9:00,18:00,,,,,,,,,,,,,
제주 패러글라이딩 스쿨,10:00,16:00,10:00,16:00,,,,,,,,,,,
신양섭지해수욕장,,,,,,,,,,,,,,,
조천만세동산,,,,,,,,,,,,,,,
중문골프장,9:00,18:00,9:00,18:00,,,,,,,,,,,
(주)제주해양레저 투명카약,9:00,18:00,9:00,18:00,,,,,,,,,,,
단산(바굼지오름),0:00,24:00:00,0:00,24:00:00,,,,,,,,,,,
알프스승마장포니,9:00,18:00,9:00,18:00,,,,,,,,,,,
야무치,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
야무치,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
야무치,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
야무치 코퍼레이션,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
야무치 코퍼레이션,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
조천중학원 옛터,,,,,,,,,,,,,,,
만벵듸 공동장지,,,,,,,,,,,,,,,
제주올레 7-1코스,,,,,,,,,,,,,,,
박물관은 살아있다,10:00,19:00,10:00,19:00,,,1,y,n,y,y,n,n,y,"휠체어, 유모차"
페인터즈:히어로 제주,17:00,20:00,17:00,20:00,,,,y,y,y,y,y,y,y,
넥슨컴퓨터박물관,10:00,18:00,10:00,18:00,,,1,y,y,y,y,,n,y,x
제주러브랜드,9:00,22:00,9:00,22:00,,,2,y,n,y,y,,n,y,"휠체어, 유모차, "
오조포구,,,,,,,,,,,,,,,
산천단곰솔,9:00,17:30,9:00,17:30,,,,,,,,,,,
표선도서관,,,,,,,,,,,,,,,
도두항,,,,,,,,,,,,,,,
가뫼물,9:00,18:00,9:00,18:00,,,,,,,,,,,
반 고흐 인사이드,10:00,19:00,,,,,,,,,,,,,
수월이못,,,,,,,,,,,,,,,
야무치,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
야무치,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
익스트림제주 카약올레,10:00,19:00,10:00,19:00,,,,,,,,,,,
5.16도로숲터널,,,,,,,,,,,,,,,
"걸서악 (동걸세, 걸세오름, 걸시오름)",,,,,,,,,,,,,,,
우도등대,,,,,,,,,,,,,,,
믿거나말거나박물관 제주,9:00,18:00,9:00,18:00,,,1,y,y,y,n,n,n,y,"휠체어, 유모차"
